nodeid,tipo,valor
327,Social,8
328,Social,5
329,Social,6
330,Social,10
331,Social,10
332,Social,10
333,Social,5
334,Social,5
335,Social,5
336,Social,0
337,Social,7
338,Social,3
339,Social,3
340,Social,3
341,Social,3
342,Social,3
343,Social,9
344,Social,9
345,Social,9
346,Social,9
347,Social,9
348,Social,6
349,Social,6
350,Social,6
351,Social,6
352,Social,4
353,Social,4
354,Social,4
355,Social,7
356,Social,5
357,Social,5
358,Social,5
359,Social,7
360,Social,7
361,Social,10
362,Social,10
363,Social,10
364,Social,2
365,Social,1
366,Social,1
367,Social,0
368,Social,7
369,Social,7
370,Social,7
371,Social,10
372,Social,10
373,Social,1
374,Social,1
375,Social,1
376,Social,1
377,Social,4
378,Social,7
379,Social,7
380,Social,7
381,Social,7
382,Social,7
383,Social,1
384,Social,1
385,Social,7
386,Social,5
387,Social,0
388,Social,9
389,Social,0
390,Social,6
391,Social,6
392,Social,6
393,Social,6
394,Social,6
395,Social,5
396,Social,5
397,Social,5
398,Social,5
399,Social,5
400,Social,0
401,Social,7
402,Social,7
403,Social,8
404,Social,8
405,Social,8
406,Social,3
407,Social,9
408,Social,9
409,Social,4
410,Social,4
411,Social,4
412,Social,10
413,Social,10
414,Social,10
415,Social,10
416,Social,10
417,Social,7
418,Social,4
419,Social,4
420,Social,6
421,Social,6
422,Social,6
423,Social,6
424,Social,8
425,Social,8
426,Social,1
427,Social,1
428,Social,1
429,Social,1
430,Social,5
431,Social,5
432,Social,2
433,Social,2
434,Social,2
435,Social,5
436,Social,5
437,Social,5
438,Social,3
439,Social,3
440,Social,8
441,Social,8
442,Social,3
443,Social,9
444,Social,7
445,Social,7
446,Social,10
447,Social,10
448,Social,9
449,Social,9
450,Social,9
451,Social,3
452,Social,3
453,Social,9
454,Social,9
455,Social,7
456,Social,8
457,Social,7
458,Social,2
459,Social,1
460,Social,7
461,Social,7
462,Social,7
463,Social,7
464,Social,7
465,Social,4
466,Social,4
467,Social,5
468,Social,4
469,Social,4
470,Social,6
471,Social,3
472,Social,3
473,Social,0
474,Social,1
475,Social,1
476,Social,1
477,Social,5
478,Social,5
479,Social,5
480,Social,4
481,Social,5
482,Social,5
483,Social,5
484,Social,7
485,Social,7
486,Social,7
487,Social,7
488,Social,8
489,Social,8
490,Social,8
491,Social,8
492,Social,0
493,Social,1
494,Social,1
495,Social,3
496,Social,9
497,Social,9
498,Social,9
499,Social,9
500,Social,9
501,Social,0
502,Social,7
503,Social,7
504,Social,7
505,Social,2
506,Social,2
507,Social,8
508,Social,3
509,Social,5
510,Social,5
511,Social,5
512,Social,5
513,Social,5
514,Social,8
515,Social,8
516,Social,7
517,Social,7
518,Social,7
519,Social,3
520,Social,3
521,Social,7
522,Social,7
523,Social,4
524,Social,4
525,Social,6
526,Social,6
527,Social,6
528,Social,6
529,Social,6
530,Social,3
531,Social,3
532,Social,3
533,Social,3
534,Social,6
535,Social,3
536,Social,6
537,Social,0
538,Social,5
539,Social,5
540,Social,8
541,Social,8
542,Social,5
543,Social,5
544,Social,5
545,Social,3
546,Social,3
547,Social,5
548,Social,5
549,Social,6
550,Social,6
551,Social,6
552,Social,7
553,Social,7
554,Social,7
555,Social,7
556,Social,9
557,Social,6
558,Social,6
559,Social,6
560,Social,1
561,Social,1
562,Social,9
563,Social,9
564,Social,9
565,Social,9
566,Social,3
567,Social,3
568,Social,3
569,Social,8
570,Social,7
571,Social,7
572,Social,2
573,Social,2
574,Social,2
575,Social,2
576,Social,7
577,Social,7
578,Social,7
579,Social,6
580,Social,6
581,Social,7
582,Social,7
583,Social,7
584,Social,7
585,Social,7
586,Social,5
587,Social,10
588,Social,10
589,Social,10
590,Social,0
591,Social,5
592,Social,5
593,Social,5
594,Social,0
595,Social,8
596,Social,8
597,Social,7
598,Social,10
599,Social,10
600,Social,0
601,Social,2
602,Social,8
603,Social,2
604,Social,5
605,Social,5
606,Social,5
607,Social,5
608,Social,7
609,Social,7
610,Social,5
611,Social,5
612,Social,8
613,Social,8
614,Social,6
615,Social,6
616,Social,5
617,Social,7
618,Social,7
619,Social,5
620,Social,5
621,Social,5
622,Social,8
623,Social,8
624,Social,8
625,Social,7
626,Social,7
627,Social,7
628,Social,9
629,Social,9
630,Social,9
631,Social,10
632,Social,6
633,Social,6
634,Social,6
635,Social,6
636,Social,8
637,Social,8
638,Social,4
639,Social,6
640,Social,6
641,Social,6
642,Social,6
643,Social,6
644,Social,7
645,Social,7
646,Social,4
647,Social,4
648,Social,4
649,Social,5
650,Social,0
651,Social,2
652,Social,2
653,Social,2
654,Social,1
655,Social,1
656,Social,1
657,Social,5
658,Social,5
659,Social,5
660,Social,5
661,Social,10
662,Social,10
663,Social,3
664,Social,3
665,Social,7
666,Social,7
667,Social,8
668,Social,8
669,Social,8
670,Social,10
671,Social,10
672,Social,10
673,Social,10
674,Social,10
675,Social,0
676,Social,7
677,Social,7
678,Social,5
679,Social,10
680,Social,10
681,Social,6
682,Social,6
683,Social,6
684,Social,6
685,Social,0
686,Social,10
687,Social,6
688,Social,9
689,Social,9
690,Social,9
691,Social,9
692,Social,8
693,Social,8
694,Social,8
695,Social,8
696,Social,5
697,Social,5
698,Social,5
699,Social,1
700,Social,6
701,Social,6
702,Social,3
703,Social,8
704,Social,5
705,Social,5
706,Social,5
707,Social,5
708,Social,0
709,Social,3
710,Social,3
711,Social,3
712,Social,3
713,Social,8
714,Social,6
715,Social,9
716,Social,9
717,Social,9
718,Social,9
719,Social,4
720,Social,4
721,Social,4
722,Social,4
723,Social,5
724,Social,5
725,Social,5
726,Social,5
727,Social,5
728,Social,5
729,Social,5
730,Social,10
731,Social,4
732,Social,4
733,Social,4
734,Social,4
735,Social,6
736,Social,6
737,Social,5
738,Social,5
739,Social,0
740,Social,6
741,Social,6
742,Social,6
743,Social,6
744,Social,0
745,Social,6
746,Social,6
747,Social,6
748,Social,6
749,Social,6
750,Social,0
751,Social,7
752,Social,7
753,Social,7
754,Social,7
755,Social,6
756,Social,6
757,Social,6
758,Social,10
759,Social,10
760,Social,10
761,Social,10
762,Social,10
763,Social,6
764,Social,0
765,Social,2
766,Social,2
767,Social,2
768,Social,10
769,Social,10
770,Social,3
771,Social,6
772,Social,0
773,Social,5
774,Social,5
775,Social,5
776,Social,5
777,Social,0
778,Social,0
779,Social,4
780,Social,3
781,Social,7
782,Social,7
783,Social,7
784,Social,5
785,Social,5
786,Social,6
787,Social,6
788,Social,6
789,Social,6
790,Social,7
791,Social,7
792,Social,4
793,Social,9
794,Social,8
795,Social,8
796,Social,8
797,Social,9
798,Social,7
799,Social,7
800,Social,7
801,Social,0
802,Social,9
803,Social,7
804,Social,7
805,Social,2
806,Social,2
807,Social,4
808,Social,4
809,Social,4
810,Social,5
811,Social,5
812,Social,0
813,Social,8
814,Social,8
815,Social,8
816,Social,8
817,Social,7
818,Social,7
819,Social,8
820,Social,8
821,Social,8
822,Social,8
823,Social,10
824,Social,10
825,Social,2
826,Social,2
827,Social,2
828,Social,2
829,Social,2
830,Social,6
831,Social,6
832,Social,6
833,Social,10
834,Social,9
835,Social,9
836,Social,0
837,Social,6
838,Social,6
839,Social,6
840,Social,6
841,Social,4
842,Social,9
843,Social,9
844,Social,6
845,Social,2
846,Social,2
847,Social,2
848,Social,2
849,Social,2
850,Social,4
851,Social,4
852,Social,4
853,Social,7
854,Social,2
855,Social,6
856,Social,8
857,Social,6
858,Social,6
859,Social,5
860,Social,5
861,Social,6
862,Social,5
863,Social,4
864,Social,8
865,Social,8
866,Social,0
867,Social,10
868,Social,10
869,Social,10
870,Social,10
871,Social,10
872,Social,10
873,Social,5
874,Social,5
875,Social,5
876,Social,6
877,Social,6
878,Social,5
879,Social,5
880,Social,5
881,Social,4
882,Social,7
883,Social,8
884,Social,8
885,Social,9
886,Social,7
887,Social,7
888,Social,5
889,Social,1
890,Social,5
891,Social,5
892,Social,7
893,Social,7
894,Social,7
895,Social,0
896,Social,6
897,Social,2
898,Social,2
899,Social,2
900,Social,10
901,Social,10
902,Social,10
903,Social,9
904,Social,10
905,Social,10
906,Social,10
907,Social,7
908,Social,7
909,Social,7
910,Social,7
911,Social,7
912,Social,7
913,Social,10
914,Social,10
915,Social,5
916,Social,5
917,Social,5
918,Social,5
919,Social,5
920,Social,5
921,Social,7
922,Social,7
923,Social,7
924,Social,9
925,Social,9
926,Social,4
927,Social,4
928,Social,4
929,Social,10
930,Social,10
931,Social,10
932,Social,7
933,Social,5
934,Social,5
935,Social,5
936,Social,5
937,Social,7
938,Social,7
939,Social,3
940,Social,3
941,Social,4
942,Social,4
943,Social,4
944,Social,4
945,Social,4
946,Social,7
947,Social,7
948,Social,7
949,Social,5
950,Social,5
951,Social,9
952,Social,10
953,Social,10
954,Social,0
955,Social,7
956,Social,5
957,Social,0
958,Social,8
959,Social,8
960,Social,8
961,Social,3
962,Social,3
963,Social,3
964,Social,5
965,Social,5
966,Social,5
967,Social,5
968,Social,5
969,Social,6
970,Social,6
971,Social,6
972,Social,7
973,Social,0
974,Social,1
975,Social,1
976,Social,1
977,Social,1
978,Social,1
979,Social,7
980,Social,7
981,Social,6
982,Social,6
983,Social,9
984,Social,9
985,Social,10
986,Social,5
987,Social,5
988,Social,9
989,Social,6
990,Social,6
991,Social,6
992,Social,0
993,Social,1
994,Social,9
995,Social,5
996,Social,5
997,Social,5
998,Social,5
999,Social,0
1000,Social,2
1001,Social,10
1002,Social,9
1003,Social,8
1004,Social,8
1005,Social,9
1006,Social,9
1007,Social,8
1008,Social,8
1009,Social,8
1010,Social,0
1011,Social,5
1012,Social,5
1013,Social,5
1014,Social,10
1015,Social,7
1016,Social,6
1017,Social,6
1018,Social,4
1019,Social,6
1020,Social,6
1021,Social,4
1022,Social,4
1023,Social,4
1024,Social,6
1025,Social,5
1026,Social,5
1027,Social,5
1028,Social,1
1029,Social,1
1030,Social,5
1031,Social,5
1032,Social,5
1033,Social,6
1034,Social,1
1035,Social,1
1036,Social,9
1037,Social,9
1038,Social,9
1039,Social,9
1040,Social,9
1041,Social,3
1042,Social,8
1043,Social,8
1044,Social,0
1045,Social,9
1046,Social,4
1047,Social,4
1048,Social,4
1049,Social,10
1050,Social,10
1051,Social,10
1052,Social,1
1053,Social,1
1054,Social,7
1055,Social,7
1056,Social,7
1057,Social,7
1058,Social,7
1059,Social,5
